geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,75.4516454,27.2520587,Feature,Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",
,,,Feature,,XX-BECE,XX-BECE,,,
,,,Feature,,XX-BSPY,XX-BSPY,,,
,,,Feature,,YY-BPLC,YY-BPLC,,,
Point,79.519746,28.913427000000002,Feature,Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh",
Point,74.43499088287354,29.55519806064484,Feature,Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan",
Point,74.75103096105158,29.238227312503696,Feature,Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan",
Point,74.77362781763077,29.192562738768984,Feature,Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan",
Point,80.231363,12.975217,Feature,Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu",
Point,74.7179570607841,29.345637263205944,Feature,Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana",
Point,78.216684,21.838466,Feature,,JKR,JAULKHERA,,,
Point,78.03136099999999,21.909813,Feature,,BYS,BARSALI,,,
Point,78.936311,23.838185999999997,Feature,,GW,GIRWAR,,,
Point,79.019912,23.871771000000003,Feature,,DGD,DANGIDHAR,,,
Point,75.10354600000001,23.770740999999997,Feature,Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh",
Point,79.074633,23.895862,Feature,,GAJ,GANESHGANJ,,,
Point,88.415324,22.168635,Feature,West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal",
Point,74.71699100000001,26.294459999999997,Feature,Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan",
Point,79.192899,23.905726,Feature,,PHA,PATHARIA,,,
Point,78.103238,18.679164999999998,Feature,Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh",
Point,86.01054599999999,25.387446999999998,Feature,,RJO,RAJENDRA PUL,,,
Point,79.478668,11.009165,Feature,Tamil Nadu,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu",
Point,79.388644,10.952962,Feature,Tamil Nadu,KMU,KUMBAKONAM,SR,"Kumbakonam, Tamil Nadu",
Point,78.45351,9.681538999999999,Feature,Tamil Nadu,MNM,MANAMADURAI JN,SR,"Sivaganga, Tamil Nadu",
Point,83.381499,26.759311,Feature,,GKP,GORAKHPUR JN,,,
,,,Feature,,BJUP,BJUP,,,
Point,73.16928300000001,22.184274000000002,Feature,,VRM,VARNAMA,,,
Point,83.416821,26.750649,Feature,,GKC,GORAKHPUR CANT,,,
Point,73.156746,22.149889,Feature,,ITA,ITOLA,,,
,,,Feature,,CIKA,CIKA,,,
,,,Feature,,XX-CPHO,XX-CPHO,,,
Point,77.273006,29.09692,Feature,Uttar Pradesh,BTU,BARAUT,NR,"Baraut, Uttar Pradesh",
Point,75.16846699999999,30.817296,Feature,Punjab,MOGA,Moga,NR,"Moga, Punjab",
Point,70.503394,23.309819,Feature,,SIOB,SAMAKHIALI JN,,,
,,,Feature,,LLHW,LLHW,,,
Point,75.087121,27.713786000000002,Feature,Rajasthan,RDK,Rasheedpura Khori,NWR,"MDR 87, Rajasthan",
Point,80.612645,16.414205000000003,Feature,,PVD,PEDDAVADIAPUDI,,,
